,id,Name,Sequence ID,Province name,Class_label,Start time,End time,Duration,Temporal context start,Temporal context end,Actual temporal context duration,Week6_Covid,Week5_Covid,Week4_Covid,Week3_Covid,Week2_Covid,Week1_Covid,Week6_Mobility,Week5_Mobility,Week4_Mobility,Week3_Mobility,Week2_Mobility,Week1_Mobility,Week5_Covid_encoded,Week3_Covid_encoded,Covid_trend,Days_passed
142,12_c3_10_17/08/2020_25/10/2020,,12,Castell /Castell n,c3,17/08/2020,25/10/2020,70,6/7/2020,17/08/2020,42,c1,c1,c2,c2,c2,c2,m4,m4,m4,m4,m4,m4,1,2,I,182.0
143,12_c3_4_16/11/2020_13/12/2020,,12,Castell /Castell n,c3,16/11/2020,13/12/2020,28,5/10/2020,16/11/2020,42,c3,c3,c3,c4,c4,c4,m3,m3,m4,m4,m3,m4,3,4,I,273.0
144,12_c3_2_08/02/2021_21/02/2021,,12,Castell /Castell n,c3,8/2/2021,21/02/2021,14,28/12/2020,8/2/2021,42,c4,c4,c4,c4,c4,c4,m2,m2,m3,m3,m3,m3,4,4,S,357.0
145,12_c4_3_26/10/2020_15/11/2020,,12,Castell /Castell n,c4,26/10/2020,15/11/2020,21,14/09/2020,26/10/2020,42,c3,c3,c3,c3,c3,c3,m4,m4,m4,m3,m3,m4,3,3,S,252.0
146,12_c4_8_14/12/2020_07/02/2021,,12,Castell /Castell n,c4,14/12/2020,7/2/2021,56,2/11/2020,14/12/2020,42,c4,c4,c3,c3,c3,c3,m3,m4,m4,m3,m4,m3,4,3,D,301.0
148,13_c1_7_08/06/2020_26/07/2020,,13,Ciudad Real,c1,8/6/2020,26/07/2020,49,27/04/2020,8/6/2020,42,c2,c2,c2,c2,c2,c2,m1,m1,m1,m2,m3,m3,2,2,S,112.0
150,13_c2_8_13/04/2020_07/06/2020,,13,Ciudad Real,c2,13/04/2020,7/6/2020,56,2/3/2020,13/04/2020,42,c2,c3,c4,c4,c3,c3,m4,m4,m1,m1,m1,m1,3,4,I,56.0
151,13_c2_2_27/07/2020_09/08/2020,,13,Ciudad Real,c2,27/07/2020,9/8/2020,14,15/06/2020,27/07/2020,42,c1,c1,c1,c1,c1,c1,m3,m4,m4,m4,m4,m4,1,1,S,161.0
152,13_c2_6_15/02/2021_28/03/2021,,13,Ciudad Real,c2,15/02/2021,28/03/2021,42,4/1/2021,15/02/2021,42,c4,c4,c4,c4,c4,c3,m2,m3,m3,m3,m3,m3,4,4,S,364.0
154,13_c3_2_30/03/2020_12/04/2020,,13,Ciudad Real,c3,30/03/2020,12/4/2020,14,17/02/2020,30/03/2020,42,c1,c1,c2,c3,c4,c4,m4,m4,m4,m4,m1,m1,1,3,I,42.0
155,13_c3_3_10/08/2020_30/08/2020,,13,Ciudad Real,c3,10/8/2020,30/08/2020,21,29/06/2020,10/8/2020,42,c1,c1,c1,c1,c2,c2,m4,m4,m4,m4,m3,m4,1,1,S,175.0
156,13_c3_3_28/09/2020_18/10/2020,,13,Ciudad Real,c3,28/09/2020,18/10/2020,21,17/08/2020,28/09/2020,42,c3,c3,c4,c4,c4,c4,m3,m3,m3,m3,m3,m4,3,4,I,224.0
157,13_c3_4_16/11/2020_13/12/2020,,13,Ciudad Real,c3,16/11/2020,13/12/2020,28,5/10/2020,16/11/2020,42,c3,c3,c4,c4,c4,c4,m4,m3,m4,m4,m4,m4,3,4,I,273.0
158,13_c3_1_08/02/2021..14/02/2021,,13,Ciudad Real,c3,8/2/2021,14/02/2021,7,28/12/2020,8/2/2021,42,c4,c4,c4,c4,c4,c4,m3,m2,m3,m3,m3,m3,4,4,S,357.0
159,13_c3_6_29/03/2021_09/05/2021,,13,Ciudad Real,c3,29/03/2021,9/5/2021,42,15/02/2021,29/03/2021,42,c2,c2,c2,c2,c2,c2,m4,m4,m4,m4,m4,m3,2,2,S,406.0
161,13_c4_4_31/08/2020_27/09/2020,,13,Ciudad Real,c4,31/08/2020,27/09/2020,28,20/07/2020,31/08/2020,42,c1,c2,c2,c3,c3,c3,m4,m3,m4,m4,m3,m3,2,3,I,196.0
162,13_c4_4_19/10/2020_15/11/2020,,13,Ciudad Real,c4,19/10/2020,15/11/2020,28,7/9/2020,19/10/2020,42,c4,c4,c4,c3,c3,c3,m3,m3,m4,m4,m4,m3,4,3,D,245.0
163,13_c4_8_14/12/2020_07/02/2021,,13,Ciudad Real,c4,14/12/2020,7/2/2021,56,2/11/2020,14/12/2020,42,c4,c4,c3,c3,c3,c3,m4,m4,m4,m4,m4,m3,4,3,D,301.0
165,14_c1_16_06/04/2020_26/07/2020,,14,C rdoba,c1,6/4/2020,26/07/2020,112,24/02/2020,6/4/2020,42,c1,c1,c2,c2,c2,c2,m4,m4,m4,m1,m1,m1,1,2,I,49.0
167,14_c2_3_27/07/2020_16/08/2020,,14,C rdoba,c2,27/07/2020,16/08/2020,21,15/06/2020,27/07/2020,42,c1,c1,c1,c1,c1,c1,m3,m3,m3,m3,m3,m3,1,1,S,161.0
168,14_c3_7_17/08/2020_04/10/2020,,14,C rdoba,c3,17/08/2020,4/10/2020,49,6/7/2020,17/08/2020,42,c1,c1,c1,c2,c2,c2,m3,m3,m3,m3,m2,m2,1,2,I,182.0
169,14_c3_6_23/11/2020_03/01/2021,,14,C rdoba,c3,23/11/2020,3/1/2021,42,12/10/2020,23/11/2020,42,c4,c4,c4,c4,c4,c4,m3,m3,m3,m3,m3,m3,4,4,S,280.0
170,14_c3_13_08/02/2021_09/05/2021,,14,C rdoba,c3,8/2/2021,9/5/2021,91,28/12/2020,8/2/2021,42,c3,c4,c4,c4,c4,c4,m2,m2,m3,m3,m3,m3,4,4,S,357.0
171,14_c4_7_05/10/2020_22/11/2020,,14,C rdoba,c4,5/10/2020,22/11/2020,49,24/08/2020,5/10/2020,42,c3,c3,c3,c3,c3,c3,m2,m3,m3,m3,m3,m3,3,3,S,231.0
172,14_c4_5_04/01/2021_07/02/2021,,14,C rdoba,c4,4/1/2021,7/2/2021,35,23/11/2020,4/1/2021,42,c3,c3,c3,c3,c3,c3,m3,m3,m2,m3,m3,m2,3,3,S,322.0
174,15_c1_13_27/04/2020_26/07/2020,,15,A Coru a,c1,27/04/2020,26/07/2020,91,16/03/2020,27/04/2020,42,c3,c3,c3,c2,c2,c2,m1,m1,m1,m1,m1,m1,3,2,D,70.0
176,15_c2_3_06/04/2020_26/04/2020,,15,A Coru a,c2,6/4/2020,26/04/2020,21,24/02/2020,6/4/2020,42,c1,c1,c2,c3,c3,c3,m4,m4,m4,m1,m1,m1,1,3,I,49.0
177,15_c2_2_27/07/2020_09/08/2020,,15,A Coru a,c2,27/07/2020,9/8/2020,14,15/06/2020,27/07/2020,42,c1,c1,c1,c1,c1,c1,m3,m3,m3,m3,m3,m3,1,1,S,161.0
178,15_c2_8_15/03/2021_09/05/2021,,15,A Coru a,c2,15/03/2021,9/5/2021,56,1/2/2021,15/03/2021,42,c4,c3,c3,c3,c3,c3,m2,m2,m2,m2,m3,m3,3,3,S,392.0
180,15_c3_21_10/08/2020_03/01/2021,,15,A Coru a,c3,10/8/2020,3/1/2021,147,29/06/2020,10/8/2020,42,c1,c1,c1,c1,c2,c2,m3,m3,m3,m3,m3,m3,1,1,S,175.0
181,15_c3_5_08/02/2021_14/03/2021,,15,A Coru a,c3,8/2/2021,14/03/2021,35,28/12/2020,8/2/2021,42,c3,c4,c4,c4,c4,c4,m2,m2,m3,m2,m2,m2,4,4,S,357.0
182,15_c4_5_04/01/2021_07/02/2021,,15,A Coru a,c4,4/1/2021,7/2/2021,35,23/11/2020,4/1/2021,42,c3,c3,c3,c3,c3,c3,m3,m3,m2,m3,m2,m2,3,3,S,322.0
184,16_c1_8_08/06/2020_02/08/2020,,16,Cuenca,c1,8/6/2020,2/8/2020,56,27/04/2020,8/6/2020,42,c2,c2,c2,c2,c2,c2,m1,m1,m2,m2,m3,m3,2,2,S,112.0
185,16_c1_2_01/03/2021_14/03/2021,,16,Cuenca,c1,1/3/2021,14/03/2021,14,18/01/2021,1/3/2021,42,c4,c4,c4,c3,c2,c2,m2,m2,m3,m3,m3,m3,4,3,D,378.0
187,16_c2_7_20/04/2020_07/06/2020,,16,Cuenca,c2,20/04/2020,7/6/2020,49,9/3/2020,20/04/2020,42,c3,c4,c4,c3,c3,c3,m4,m1,m1,m1,m1,m1,4,3,D,63.0
188,16_c2_2_03/08/2020_16/08/2020,,16,Cuenca,c2,3/8/2020,16/08/2020,14,22/06/2020,3/8/2020,42,c1,c1,c1,c1,c1,c1,m4,m4,m4,m4,m4,m4,1,1,S,168.0
